dealer,city,model,sales,date
Albion,Cherkasy,CPH-2000,40748.32,2008
Albion,Cherkasy,3S-4000F,73479.44,2009
Albion,Cherkasy,CPH-2000,50515.59,2012
Albion,Cherkasy,CPH-2000,46974.85,2012
Albion,Cherkasy,PD8070,29437.2,2008
Albion,Cherkasy,NTA3510,94956.06,2008
Albion,Cherkasy,CPH-2000,42647.4,2009
Albion,Cherkasy,YP4025A,185399.28,2015
Albion,Cherkasy,YP825A,31534.22,2014
Albion,Cherkasy,YP825A,31534.22,2014
Amaco,Cherkasy,3S4000HDF,88538.78,2008
Amaco,Cherkasy,3S4000HDF,88538.78,2008
Amaco,Cherkasy,3S4000HDF,88538.78,2008
Amaco,Cherkasy,3S4000HDF,88538.78,2008
Amaco,Cherkasy,3S4000HDF,88538.78,2008
Amaco,Cherkasy,3S4000HDF,88538.78,2008
Amaco,Cherkasy,3S4000HDF,88538.78,2008
Amaco,Cherkasy,CPH-2000,48472.44,2011
Amaco,Cherkasy,2SF30,53974.32,2011
Amaco,Cherkasy,2SF30,53974.32,2011
Amaco,Cherkasy,2SF30,53974.32,2011
Amaco,Cherkasy,CPH-2000,47729.2,2011
Amaco,Cherkasy,PD8070,33608.53,2012
Amaco,Cherkasy,3S-4000F,80228.58,2012
Amaco,Cherkasy,CPH-2000,51310.99,2012
Amaco,Cherkasy,PD8070,33676.01,2013
Amaco,Cherkasy,PFH-2000,52871.57,2013
Amaco,Cherkasy,PFH-2000,52871.57,2013
Amaco,Cherkasy,2SF30,61512.72,2014
Amaco,Cherkasy,YP1630F,100299.08,2014
Amaco,Cherkasy,PFH-2000,54891.62,2014
Amaco,Cherkasy,PFH-2000,54891.62,2014
Agroresurs,Cherkasy,PD8070,30304.88,2011
Agroresurs,Cherkasy,CPH-2000,49783.48,2012
Agroresurs,Cherkasy,NTA3510,133900.3,2012
Agroresurs,Cherkasy,PD8070,30830.15,2012
Agroresurs,Cherkasy,YP1630F,88007.4,2013
Agroresurs,Cherkasy,YP1630F,88007.4,2013
Agroresurs,Cherkasy,YP825A,33160.88,2013
Agroresurs,Cherkasy,YP825A,33160.88,2013
Agroresurs,Cherkasy,YP825A,33160.88,2013
Agroresurs,Cherkasy,CPH-1500,40980.88,2013
Agroresurs,Cherkasy,FH6851HD,19141.6,2014
GPU,Cherkasy,3S4000HDF,75427.64,2009
GPU,Cherkasy,1300F,17008.64,2011
GPU,Cherkasy,NP1540AA,35884.8,2014
GPU,Cherkasy,NP1540AA,41094.4,2015
Technotorg,Cherkasy,1300F,18454.92,2015
Novofarm,Cherkasy,FH6851HD," 17,793.60 ",2014
Eridon,Cherkasy,CPH-1500,38757.96,2010
Eridon,Cherkasy,8336FCC,30270.88,2011
Eridon,Cherkasy,8336FCC,32514.88,2011
Eridon,Cherkasy,3S-4000F,77517.28,2011
Eridon,Cherkasy,3S-4000F,77517.28,2011
Eridon,Cherkasy,CPH-1500,37783.68,2011
Eridon,Cherkasy,PD8070,31241.78,2011
Eridon,Cherkasy,PD8070,31241.78,2011
Eridon,Cherkasy,PD8070,31241.78,2011
Eridon,Cherkasy,PD8070,31241.78,2011
Eridon,Cherkasy,CPH-2000,50503.72,2012
Eridon,Cherkasy,3S-3000F,62169.02,2012
Eridon,Cherkasy,CPH-2000,47700.9,2012
Eridon,Cherkasy,YP1630F,90067.36,2013
Eridon,Cherkasy,YP1630F,88907.28,2013
Eridon,Cherkasy,CPH-1500,40151.1,2014
Eridon,Cherkasy,YP825A,32830.38,2014
Eridon,Cherkasy,CPH-1500,40143.18,2014
Eridon,Cherkasy,CPH-1500,44092.6,2014
Eridon,Cherkasy,CPH-1500,44092.6,2014
GPU,Chernihiv,NTA907HD,90014.7,2010
GPU,Chernihiv,3000TM,49672.35,2013
Technotorg,Chernihiv,PD8070,31929.48,2014
Technotorg,Chernihiv,YP825A,32830.38,2014
Albion,Chernihiv,CPH-2000,46974.85,2012
Albion,Chernihiv,CPH-2000,46974.85,2012
Albion,Chernihiv,CPH-2000,49051.37,2014
Albion,Chernihiv,NTA3510,94956.06,2008
Albion,Chernihiv,YP2425F,113163.05,2012
Albion,Chernihiv,PD8070,30768.33,2011
Albion,Chernihiv,PD8070,32982.76,2012
Albion,Chernihiv,YP4025F,93616.15,2011
Albion,Chernihiv,YP1630F,90254.36,2014
Albion,Chernihiv,NTA3510,94956.06,2008
Albion,Chernihiv,YP4025F,86139.7,2010
Albion,Chernihiv,NTA3510,94956.06,2008
Amaco,Chernihiv,NTA907,92096.48,2011
Amaco,Chernihiv,3S-4000F,71996.36,2011
Amaco,Chernihiv,3S-3000F,63172.25,2012
Amaco,Chernihiv,3S-4000F,86626.18,2012
Amaco,Chernihiv,PFH-2000,52871.57,2013
Amaco,Chernihiv,3S-3000F,63826.87,2013
Amaco,Chernihiv,3S-3000F,63826.87,2013
