"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,240,"UKR","Ukraine",1,"Cherkasy","UA.CK",NA,"","Oblast'","Region","","Cherkas'ka Oblast'|Cherkasskaya Oblast'|Cherkassy"
2,240,"UKR","Ukraine",2,"Chernihiv","UA.CH",NA,"","Oblast'","Region","","Chernigov|Tschernigow"
3,240,"UKR","Ukraine",3,"Chernivtsi","UA.CV",NA,"","Oblast'","Region","","Chernivets'ka Oblast'|Chernovitskaya Oblast'|Chernovtsy|Czernowitz|Tschernowzy|Tchernovtsy"
4,240,"UKR","Ukraine",4,"Crimea","UA.KR",NA,"","Autonomous Republic","Autonomous Republic","","Crimée|Criméia|Krim|Krymskaya Respublika|Respublika Krym"
5,240,"UKR","Ukraine",5,"Dnipropetrovs'k","UA.DP",NA,"","Oblast'","Region","","Dnipropetrovsk|Dniepropietrovsk|Dnjepropetrowsk"
6,240,"UKR","Ukraine",6,"Donets'k","UA.DT",NA,"","Oblast'","Region","","Donetsk|Donetskaya Oblast'|Donezk|Stalino"
7,240,"UKR","Ukraine",7,"Ivano-Frankivs'k","UA.IF",NA,"","Oblast'","Region","","Ivano-Frankovsk|Ivano-Frankovskaya Oblast'|Stanislav"
8,240,"UKR","Ukraine",8,"Kharkiv","UA.KK",NA,"","Oblast'","Region","","Charkow|Jarkov|Karkov|Khar'kov"
9,240,"UKR","Ukraine",9,"Kherson","UA.KS",NA,"","Oblast'","Region","","Cherson|Khersons'ka Oblast'"
10,240,"UKR","Ukraine",10,"Khmel'nyts'kyy","UA.KM",NA,"","Oblast'","Region","","Khmelnitsky|Khmelnytskyi|Chmelnizkij|Hmelnicki|Kamenets-Podol'skaya Oblast'|Khmel'nyts'ka Oblast'"
11,240,"UKR","Ukraine",11,"Kiev City","UA.KC",NA,"","Independent City","Independent City","","Kyiv"
12,240,"UKR","Ukraine",12,"Kiev","UA.KV",NA,"","Oblast'","Region","","Kiev Oblast|Kiew|Kijew|Kiiv|Kijev|Kiyev|Kyiv|Kyjiv|Kyyiv|Kyyivs'ka Oblast'"
13,240,"UKR","Ukraine",13,"Kirovohrad","UA.KH",NA,"","Oblast'","Region","","Kirovograd|Kirovogradskaya Oblast'"
14,240,"UKR","Ukraine",14,"L'viv","UA.LV",NA,"","Oblast'","Region","","Lemberg|Llvov|L'vov|Lwow|L'vivs'ka Oblast'"
15,240,"UKR","Ukraine",15,"Luhans'k","UA.LH",NA,"","Oblast'","Region","","Luhansk|Lugansk|Luhans'ka Oblast'|Voroshilovgrad"
16,240,"UKR","Ukraine",16,"Mykolayiv","UA.MY",NA,"","Oblast'","Region","","Mykolaiv|Nikolajew|Nikolayev"
17,240,"UKR","Ukraine",17,"Odessa","UA.OD",NA,"","Oblast'","Region","","Odesa|Odes'ka Oblast'|Odesskaya Oblast'"
18,240,"UKR","Ukraine",18,"Poltava","UA.PL",NA,"","Oblast'","Region","",""
19,240,"UKR","Ukraine",19,"Rivne","UA.RV",NA,"","Oblast'","Region","","Rovno|Rivnens'ka Oblast'|Rovenskaya Oblast'"
20,240,"UKR","Ukraine",20,"Sevastopol'","UA.SC",NA,"","Autonomous Republic","Autonomous Republic","","Sebastopol"
21,240,"UKR","Ukraine",21,"Sumy","UA.SM",NA,"","Oblast'","Region","",""
22,240,"UKR","Ukraine",22,"Ternopil'","UA.TP",NA,"","Oblast'","Region","","Ternopol|Ternopol'"
23,240,"UKR","Ukraine",23,"Transcarpathia","UA.ZK",NA,"","Oblast'","Region","","Transcarpathian|Zakarpattia|Ruthenia|Zakarpats'ka Oblast'|Zakarpatskaya Oblast'"
24,240,"UKR","Ukraine",24,"Vinnytsya","UA.VI",NA,"","Oblast'","Region","","Vinnytsia|Vinnitskaya Oblast'|Vinnyts'ka Oblast|Winniza"
25,240,"UKR","Ukraine",25,"Volyn","UA.VO",NA,"","Oblast'","Region","","Volhynia|Volyns'ka Oblast'|Volynskaya Oblast'|Wolynien"
26,240,"UKR","Ukraine",26,"Zaporizhzhya","UA.ZP",NA,"","Oblast'","Region","","Saporoshje|Zaporizhia|Zaporiz'ka Oblast'|Zaporojie|Zaporozhskaya Oblast'|Zaporozh'ye|Zaporožje"
27,240,"UKR","Ukraine",27,"Zhytomyr","UA.ZT",NA,"","Oblast'","Region","","Zhitomir|Jitomir|Shitomir|Zhitomirskaya Oblast'"
